col_index,col_index_det,col_people,col_people_rating,col_people_link
173,2,Toby Chekhov,5150,https://www.vivino.com/users/toby-pi
174,0,Dick Schinkel,2963,https://www.vivino.com/users/dick.sc
174,1,Hans G. Bergmann,1715,https://www.vivino.com/users/hans.bergmann
174,2,DrC,3065,https://www.vivino.com/users/kevinchan2
175,0,Andrei Ristea,2422,https://www.vivino.com/users/andrei_ri
175,1,v00alex,2572,https://www.vivino.com/users/m233185a7f95a7d2f814f631d9d648b5
175,2,Benjamin Bailleux,1779,https://www.vivino.com/users/benjamin.bai
176,0,Bryce Gillespie,563,https://www.vivino.com/users/bryce.gi
176,1,Benjamin Bailleux,1779,https://www.vivino.com/users/benjamin.bai
176,2,Vincent Li,331,https://www.vivino.com/users/vincentli5
177,0,Davison Santana,303,https://www.vivino.com/users/davison-s
177,1,Piet Verleysen,559,https://www.vivino.com/users/piet.verl
177,2,MikeNoonan84,194,https://www.vivino.com/users/m1fc4574b0c0b463b04548b0402ec0e4
178,0,Tayu Cheng,460,https://www.vivino.com/users/tayuc
178,1,Le Cut,1669,https://www.vivino.com/users/cutbertop
178,2,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
179,0,Jack Madrid,3857,https://www.vivino.com/users/jack-mad
179,1,Rob Salzer,388,https://www.vivino.com/users/rob_sal
179,2,!! Donners !!,3086,https://www.vivino.com/users/claus.do
180,0,Raymond Lau,610,https://www.vivino.com/users/raymondlau7
180,1,njc,1747,https://www.vivino.com/users/nicholas.cow
180,2,Joseph Calleja,1249,https://www.vivino.com/users/joseph-cal
181,0,*Burgnut*,3310,https://www.vivino.com/users/burgnutm
181,1,Cult Wines International,169,https://www.vivino.com/users/cult-wines.international
181,2,Zdenek Shamov,904,https://www.vivino.com/users/zdeneks
182,0,Adrian Nyffeler,10436,https://www.vivino.com/users/adrian_nuf
182,1,Kalvin Suen,581,https://www.vivino.com/users/kalvin-s
182,2,Annai Salazar,684,https://www.vivino.com/users/annais
183,0,Jen Belden,1198,https://www.vivino.com/users/jen.belden
183,1,Jonathan Pellicano,904,https://www.vivino.com/users/jonathanpellicano
183,2,Martin Schriener,331,https://www.vivino.com/users/martin.schrie
184,0,WineAdvocate,6253,https://www.vivino.com/users/ec61dd3520d86c52e665de6029fb1377
184,1,Howard Weiss,414,https://www.vivino.com/users/howard-weis
184,2,Jonathan Risting,561,https://www.vivino.com/users/jonathan_ris
185,0,Evan Wiens,981,https://www.vivino.com/users/evanwiens
185,1,Katy W,1304,https://www.vivino.com/users/katy-wal
185,2,Vincent Li,331,https://www.vivino.com/users/vincentli5
186,0,! Yarivyo Wine Score,3255,https://www.vivino.com/users/yarivh
186,1,Toby Chekhov,5150,https://www.vivino.com/users/toby-pi
186,2,Arnold Chan,305,https://www.vivino.com/users/arnold_ch
187,0,Hans G. Bergmann,1715,https://www.vivino.com/users/hans.bergmann
187,1,DrC,3065,https://www.vivino.com/users/kevinchan2
187,2,Mich k,1006,https://www.vivino.com/users/michelle-kw
188,0,Martin Simonnet,190,https://www.vivino.com/users/martin.simonn
188,1,*KUCEY*,291,https://www.vivino.com/users/wg
188,2,Runningbear 1,314,https://www.vivino.com/users/runningbear1
189,0,Kenneth Hubner,2055,https://www.vivino.com/users/khybner
189,1,Kevin Ortzman,1349,https://www.vivino.com/users/kevin_ort
189,2,Damion Harris,246,https://www.vivino.com/users/damion_h
190,0,Alan Wu,922,https://www.vivino.com/users/alan_wu2
190,1,Felix Christen,4994,https://www.vivino.com/users/felix.chr
190,2,Jeremy Seow,1451,https://www.vivino.com/users/jeremy-seow
191,0,Kim hoe Leong,442,https://www.vivino.com/users/kim-hoel
191,1,Nikolai Siimes,808,https://www.vivino.com/users/nikolai_si
191,2,Sylvester Gbewonyo Jr.,4897,https://www.vivino.com/users/sylvester.g
192,0,Ken,3694,https://www.vivino.com/users/frauenknechtk
192,1,!! Donners !!,3086,https://www.vivino.com/users/claus.do
192,2,Tom Vervoort,612,https://www.vivino.com/users/tom.vervo
193,0,Brandon Erickson,958,https://www.vivino.com/users/brandon.er
193,1,Jesper Huldgaard,1051,https://www.vivino.com/users/jesper.hu
193,2,Arvo Kask,756,https://www.vivino.com/users/arvo.k
194,0,Marcus Klein,726,https://www.vivino.com/users/marcus-kl
194,1,Maximilian Roher,584,https://www.vivino.com/users/maximilian.ro
194,2,Thomas Henell,146,https://www.vivino.com/users/thomas.hene
195,0,WineAdvocate,6253,https://www.vivino.com/users/ec61dd3520d86c52e665de6029fb1377
