col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
470,Luccarelli,Old Vines Primitivo di Manduria 2016,NA,4.4,1410,Italy,Primitivo di Manduria,https://www.vivino.com/luccarelli-old-vines-primitivo-di-manduria/w/1129440?year=2016&price_id=16399881,2016
471,Viña Cobos,Bramare Malbec Uco Valley 2015,NA,4.4,1408,Argentina,Uco Valley,https://www.vivino.com/vina-cobos-bramare-malbec-uco-valley/w/1247692?year=2015&price_id=15864109,2015
472,Varvaglione,Papale Linea Oro Primitivo di Manduria 2015,NA,4.4,1400,Italy,Primitivo di Manduria,https://www.vivino.com/varvaglione-papale-linea-oro-primitivo-di-manduria/w/1202838?year=2015&price_id=17753016,2015
473,Royal Tokaji,5 Puttonyos Aszú (Blue Label) 2013,NA,4.4,1339,Italy,Primitivo di Manduria,https://www.vivino.com/royal-tokaji-five-puttonyos-aszu-blue-label/w/1789271?year=2013&price_id=12807046,2013
474,Château Pichon Baron,Pauillac (Grand Cru Classé) 2008,NA,4.4,1303,Italy,Primitivo di Manduria,https://www.vivino.com/chateau-pichon-baron-pauillac-grand-cru-classe-pauillac-red-wine/w/79762?year=2008&price_id=8146733,2008
475,Château Cos d'Estournel,Saint-Estèphe (Grand Cru Classé) 2008,NA,4.4,1251,France,Saint-Estèphe,https://www.vivino.com/chateau-cos-d-estournel-saint-estephe-grand-cru-classe/w/74346?year=2008&price_id=8146835,2008
476,Muga,Aro N.V.,NA,4.4,1249,France,Saint-Estèphe,https://www.vivino.com/muga-winery-aro/w/7495?year=N.V.&price_id=8202189,N.V.
477,Biondi-Santi,Brunello di Montalcino 2009,NA,4.4,1152,Italy,Brunello di Montalcino,https://www.vivino.com/franco-biondi-santi-brunello-di-montalcino/w/1558589?year=2009&price_id=13761754,2009
478,El Enemigo,Gran Enemigo 2013,NA,4.4,1151,Italy,Brunello di Montalcino,https://www.vivino.com/el-enemigo-gran-enemigo/w/1235058?year=2013&price_id=17039309,2013
479,Biondi-Santi,Brunello di Montalcino 2010,NA,4.4,1146,Italy,Brunello di Montalcino,https://www.vivino.com/franco-biondi-santi-brunello-di-montalcino/w/1558589?year=2010&price_id=13969675,2010
480,Château Léoville Barton,Saint-Julien (Grand Cru Classé) 2000,NA,4.4,1128,France,Saint-Julien,https://www.vivino.com/chateau-leoville-barton-saint-julien-grand-cru-classe/w/22685?year=2000&price_id=16834681,2000
481,Achaval-Ferrer,Finca Mirador Malbec 2011,NA,4.4,1109,France,Saint-Julien,https://www.vivino.com/achaval-ferrer-finca-mirador-malbec/w/89025?year=2011&price_id=7421293,2011
482,Sena,Aconcagua Valley 2013,NA,4.4,1020,Chile,Aconcagua Valley,https://www.vivino.com/sena-aconcagua-valley/w/25474?year=2013&price_id=16834634,2013
483,Montes,Folly Syrah 2011,NA,4.4,994,Chile,Colchagua Valley,https://www.vivino.com/montes-folly-syrah/w/71264?year=2011&price_id=13593869,2011
484,Cousiño-Macul,Lota 2008,NA,4.4,990,Chile,Colchagua Valley,https://www.vivino.com/cousino-macul-lota/w/48314?year=2008&price_id=14126496,2008
485,Achaval-Ferrer,Finca Mirador Malbec 2013,NA,4.4,982,Chile,Colchagua Valley,https://www.vivino.com/achaval-ferrer-finca-mirador-malbec/w/89025?year=2013&price_id=12955402,2013
486,Gaja,Pieve Santa Restituta Brunello di Montalcino 2013,NA,4.4,965,Italy,Brunello di Montalcino,https://www.vivino.com/gaja-pieve-santa-restituta-brunello-di-montalcino/w/1165708?year=2013&price_id=18005858,2013
487,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2000,NA,4.4,870,France,Saint-Estèphe,https://www.vivino.com/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=2000&price_id=16834863,2000
488,Château Léoville Barton,Saint-Julien (Grand Cru Classé) 2009,NA,4.4,861,France,Saint-Julien,https://www.vivino.com/chateau-leoville-barton-saint-julien-grand-cru-classe/w/22685?year=2009&price_id=18172350,2009
489,Alma Negra,Misterio 2016,NA,4.4,860,France,Saint-Julien,https://www.vivino.com/alma-negra-misterio/w/1260766?year=2016&price_id=17431442,2016
490,Viña Cobos,Bramare Rebon Vineyard Malbec 2013,NA,4.4,836,France,Saint-Julien,https://www.vivino.com/vina-cobos-bramare-rebon-vineyard-malbec/w/1382212?year=2013&price_id=16502658,2013
491,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2015,NA,4.4,821,Italy,Bolgheri Superiore,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore/w/1658?year=2015&price_id=16964730,2015
492,Royal Oporto,20 Year Old Tawny Porto N.V.,NA,4.4,807,Portugal,Aged Tawny Port,https://www.vivino.com/royal-oporto-twenty-year-old-tawny-porto/w/1244155?year=N.V.&price_id=3475199,N.V.
493,Paul Hobbs,Cabernet Sauvignon 2013,NA,4.4,807,United States,Napa Valley,https://www.vivino.com/paul-hobbs-cabernet-sauvignon/w/87659?year=2013&price_id=16801328,2013
494,Cortes de Cima,Incógnito 2011,NA,4.4,792,Portugal,Alentejano,https://www.vivino.com/cortes-de-cima-incognito/w/8039?year=2011&price_id=10013822,2011
495,Caballo Loco,Grand Cru Sagrada Familia 2014,NA,4.4,791,Chile,Lontue Valley,https://www.vivino.com/caballo-loco-grand-cru-sagrada-familia/w/2929415?year=2014&price_id=15282867,2014
496,Gaja,Barbaresco 2013,NA,4.4,786,Chile,Lontue Valley,https://www.vivino.com/gaja-barbaresco/w/66104?year=2013&price_id=16834687,2013
497,Undurraga,Founder's Collection Cabernet Sauvignon 2015,NA,4.4,779,Chile,Lontue Valley,https://www.vivino.com/undurraga-founder-s-collection-cabernet-sauvignon/w/1130293?year=2015&price_id=17722804,2015
498,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2006,NA,4.4,770,France,Saint-Julien,https://www.vivino.com/chateau-ducru-beaucaillou-saint-julien-grand-cru-classe/w/61744?year=2006&price_id=16834890,2006
499,Prats & Symington (P+S),Chryseia Douro 2013,NA,4.4,751,France,Saint-Julien,https://www.vivino.com/chryseia-chryseia-douro/w/1240543?year=2013&price_id=4150522,2013
